lincRNA_ID,Size(bp),Overlapping_known_lincRNA,gene_ID,Has_TSS_data,Number_of_exons
TCONS_00000114.gene=XLOC_000108,346,NA,NA,NA,2
TCONS_00000179.gene=XLOC_000170,374,NA,NA,NA,2
TCONS_00000310.gene=XLOC_000288,507,NA,NA,NA,1
TCONS_00000803.gene=XLOC_000746,247,NA,NA,NA,1
TCONS_00001247.gene=XLOC_001151,352,NA,NA,NA,2
TCONS_00001362.gene=XLOC_001257,1040,NA,NA,NA,1
TCONS_00001556.gene=XLOC_001438,662,NA,NA,NA,1
TCONS_00001781.gene=XLOC_001655,374,NA,NA,NA,1
TCONS_00002065.gene=XLOC_001924,223,NA,NA,NA,2
TCONS_00002216.gene=XLOC_002072,426,NA,NA,NA,3
TCONS_00002632.gene=XLOC_002478,759,NA,NA,NA,2
TCONS_00002831.gene=XLOC_002668,353,NA,NA,NA,1
TCONS_00002937.gene=XLOC_002768,315,NA,NA,NA,2
TCONS_00003010.gene=XLOC_002839,347,NA,NA,NA,2
TCONS_00004001.gene=XLOC_003784,206,NA,NA,NA,1
TCONS_00004209.gene=XLOC_003980,426,NA,NA,NA,1
TCONS_00004436.gene=XLOC_004191,367,NA,NA,NA,1
TCONS_00004658.gene=XLOC_004399,426,NA,NA,NA,1
TCONS_00004720.gene=XLOC_004457,214,NA,NA,NA,2
TCONS_00004876.gene=XLOC_004606,274,NA,NA,NA,2
TCONS_00005093.gene=XLOC_004813,398,NA,NA,NA,3
TCONS_00005433.gene=XLOC_005137,378,NA,NA,NA,1
TCONS_00005523.gene=XLOC_005222,896,NA,NA,NA,2
TCONS_00005845.gene=XLOC_005524,354,NA,NA,NA,1
TCONS_00009469.gene=XLOC_008954,321,NA,NA,NA,1
TCONS_00010302.gene=XLOC_009748,204,NA,NA,NA,1
TCONS_00010303.gene=XLOC_009749,216,NA,NA,NA,4
TCONS_00010311.gene=XLOC_009757,719,NA,NA,NA,1
TCONS_00010431.gene=XLOC_009872,383,NA,NA,NA,1
TCONS_00010437.gene=XLOC_009877,539,NA,NA,NA,2
TCONS_00010446.gene=XLOC_009886,436,NA,NA,NA,2
TCONS_00010653.gene=XLOC_010086,788,NA,NA,NA,3
TCONS_00010709.gene=XLOC_010141,425,NA,NA,NA,1
TCONS_00011877.gene=XLOC_011263,273,NA,NA,NA,1
TCONS_00012083.gene=XLOC_011459,240,NA,NA,NA,1
TCONS_00012189.gene=XLOC_011563,664,NA,NA,NA,1
TCONS_00012459.gene=XLOC_011828,782,NA,NA,NA,1
TCONS_00012568.gene=XLOC_011932,822,NA,NA,NA,1
TCONS_00012572.gene=XLOC_011936,314,NA,NA,NA,1
TCONS_00012582.gene=XLOC_011945,519,NA,NA,NA,2
TCONS_00012699.gene=XLOC_012056,766,NA,NA,NA,1
TCONS_00013537.gene=XLOC_012848,386,NA,NA,NA,2
TCONS_00013615.gene=XLOC_012923,265,NA,NA,NA,1
TCONS_00013618.gene=XLOC_012926,263,NA,NA,NA,1
TCONS_00013798.gene=XLOC_013099,432,NA,NA,NA,1
TCONS_00013893.gene=XLOC_013184,376,NA,NA,NA,1
TCONS_00014093.gene=XLOC_013369,388,NA,NA,NA,3
TCONS_00014947.gene=XLOC_014191,282,NA,NA,NA,1
TCONS_00015337.gene=XLOC_014555,209,NA,NA,NA,2
TCONS_00015369.gene=XLOC_014585,1036,NA,NA,NA,1
TCONS_00015380.gene=XLOC_014596,289,NA,NA,NA,1
TCONS_00015403.gene=XLOC_014618,566,NA,NA,NA,3
TCONS_00017063.gene=XLOC_016168,465,NA,NA,NA,2
TCONS_00017338.gene=XLOC_016424,339,NA,NA,NA,3
TCONS_00017669.gene=XLOC_016736,211,NA,NA,NA,1
TCONS_00018140.gene=XLOC_017176,256,NA,NA,NA,2
TCONS_00018176.gene=XLOC_017210,212,NA,NA,NA,1
TCONS_00018591.gene=XLOC_017604,258,NA,NA,NA,1
TCONS_00019424.gene=XLOC_018376,314,NA,NA,NA,1
TCONS_00020181.gene=XLOC_019089,243,NA,NA,NA,1
TCONS_00020351.gene=XLOC_019252,204,NA,NA,NA,1
TCONS_00020559.gene=XLOC_019451,542,NA,NA,NA,1
TCONS_00020627.gene=XLOC_019519,693,NA,NA,NA,1
TCONS_00020640.gene=XLOC_019531,205,NA,NA,NA,1
TCONS_00020723.gene=XLOC_019609,305,NA,NA,NA,2
TCONS_00021167.gene=XLOC_020033,203,NA,NA,NA,1
